,,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.,Monthly Close type A adj.
,,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE,STOCK'MXCLOSE
,,yen,yen,yen,yen,yen,yen,yen,yen,yen,yen
,,YOKOHAMA RUBBER,FUTURE,FUJIYA,KAJIMA,MITSUBISHI MATERIALS,WOWOW,DAIKIN INDUSTRIES,HONDA MOTOR,YAMATO,KEY COFFEE
,,T5101,T4722,T2211,T1812,T5711,T4839,T6367,T7267,T1967,T2594
,,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange,Tokyo Stock Exchange
,,X01,X01,X01,X01,X01,X01,X01,X01,X01,X01
,,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock,Common Stock
,,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0
MONTHLY(M),2009/05,860,199.5,1280,590,3160,672.5,2930,2750,336,1578
MONTHLY(M),2009/06,956,212.75,1420,602,3010,825,3110,2660,353,1582
MONTHLY(M),2009/07,1006,202.25,1280,534,2570,1080,3440,3050,330,1583
MONTHLY(M),2009/08,970,195.75,1260,522,2840,1068.5,3280,2935,334,1599
MONTHLY(M),2009/09,882,190,1610,460,2480,994.5,3230,2765,310,1592
MONTHLY(M),2009/10,808,183.75,1710,430,2440,892.5,3150,2880,308,1595
MONTHLY(M),2009/11,648,189,1330,334,2060,790,3070,2700,300,1590
MONTHLY(M),2009/12,814,185.5,1720,374,2270,842.5,3660,3110,319,1590
MONTHLY(M),2010/01,686,179.5,1830,378,2350,955,3355,3075,311,1578
MONTHLY(M),2010/02,764,170,2060,416,2300,914.5,3420,3080,302,1570
MONTHLY(M),2010/03,880,178,2130,458,2690,989,3825,3300,324,1589
MONTHLY(M),2010/04,882,185.5,2010,478,2840,1037,3580,3215,327,1565
MONTHLY(M),2010/05,828,160,1750,430,2460,940,3000,2770,285,1512
MONTHLY(M),2010/06,806,152,1850,406,2390,882.5,2737,2597,301,1552
MONTHLY(M),2010/07,924,147.5,1710,412,2300,850,3205,2709,298,1527
MONTHLY(M),2010/08,772,145.05,1610,394,2220,682.5,2862,2779,302,1536
